"id";"familia";"nome"
"6490";"BROMELIACEAE";"Vriesea kautskyana"
"6493";"BROMELIACEAE";"Vriesea leptantha"
"6499";"BROMELIACEAE";"Vriesea longistaminea"
"6501";"BROMELIACEAE";"Vriesea menescalii"
"6452";"BROMELIACEAE";"Vriesea delicatula"
"6801";"CELASTRACEAE";"Tontelea martiana"
"47560";"CAMPANULACEAE";"Lobelia anceps"
"6636";"CAMPANULACEAE";"Lobelia hilaireana"
"6637";"CAMPANULACEAE";"Lobelia langeana"
"34583";"CAMPANULACEAE";"Lobelia santos-limae"
"6749";"CELASTRACEAE";"Maytenus basidentata"
"6779";"CELASTRACEAE";"Peritassa longifolia"
"1465";"CACTACEAE";"Cipocereus laniflorus"
"6793";"CELASTRACEAE";"Salacia mosenii"
"1751";"CACTACEAE";"Tacinga braunii"
"16762";"CHRYSOBALANACEAE";"Couepia belemii"
"34628";"CHRYSOBALANACEAE";"Couepia carautae"
"34645";"CHRYSOBALANACEAE";"Couepia leitaofilhoi"
"34650";"CHRYSOBALANACEAE";"Couepia meridionalis"
